cleaned_text,text_length,hashtag_count,mention_count,uppercase_ratio,controversial_keyword_count,engagement_score,is_verified,troll_label
we won t feed the dog that keeps biting us no food electricity amp water no more help from us gaza elected hamas and celebrated when these atrocities took place broken_heart israel will never target civilians and makes the max effort to avoid collateral damage but our lives come first,284,0,0,0.02112676056338028,0,0.0,0,0
his might be one of the most important documentaries that anyone can watch right now given current events and escalations between hamas israel iran and the us all wars are bankers wars if you are still caught up in the left vs right israel vs palestine ukraine vs russia,308,0,0,0.03896103896103896,0,9.0,0,0
when somebody says pray for me i m in a shelter in israel ask yourself why they re there before you say stay safe,115,0,0,0.0,0,8.0,0,0
the israel palestine conflict latest thread 2023 1 4 zionist russia ukraine may allah help,305,16,0,0.1180327868852459,0,378.0,0,0
how violent is israel towards palestine below are list of military operations conducted by the israeli army in the past two decades please note the death ratio amp civilian casualties 1 operation rainbow may june 2004 operation was conducted by israel to locate amp destroy,293,0,0,0.040955631399317405,1,4036.0,0,1
may allah help after declaration state of war from israel side palestinian fighters have fired rockets from the gaza strip towards israel following these design documents warning sirens for large areas of israel are shown below there are reports of casualties in,278,1,0,0.039568345323741004,0,790.0,0,0
dehumanising is one of the final steps of fascist ethnic cleansing,66,0,0,0.0,0,35.0,0,0
eradication of gaza yes break up the population and have them move all over the world plenty of nice countries out there like russia and saudi arabia gaza has no water little electricity no sewage no airport no food no manufacturing nothing it only lives on,303,0,1,0.006600660066006601,0,252.0,0,0
they are not the same all the moral authority and international law is on the side of the palestinians yet all the economic and military assistance from the west is given to israel and it s criminal actions are implicitly endorsed and encouraged meanwhile palestinians are,275,0,0,0.02909090909090909,0,297.0,0,0
israel withdrew from the gaza strip in 2005 and dismantled its settlements instead of peace palestinians chose hamas hamas choose to build rockets not factories they choose to buy guns not books they choose to try to kill instead of make peace it is all their choice,284,0,0,0.03169014084507042,1,12174.0,0,1
the palestine question there is only palestine there is no question the escalating violence is called resistance against a brutal occupier that routinely disregards laws of war amp human rights in expanding its apartheid amp dispossession of the palestinian people,284,0,0,0.02464788732394366,1,3455.0,0,1
embrace a free mind shed the past embark on self improvement follow me for knowledge genuine connections and a fresh perspective on life hundred_points pushpin closed_book,146,0,0,0.0136986301369863,0,43.0,0,0
from the river dove to the sea water_wave falasteen Palestinian_Territories will be free victory_hand_medium light_skin_tone,85,0,0,0.23529411764705882,0,8.0,0,0
how these ceasefires go israel ceases they fire repeated ceasefires led to the most single day murders of jews since the holocaust enough no more ceasefires israel should finish the job without cowardly wavering from the u s,243,0,0,0.037037037037037035,1,2068.0,0,1
you know what s insane the way the one time palestine fought back against their ethnic cleansing after years of brutality from israel it s instantly condemned and highlighted and put on every news platform available but when gaza was under constant attacks there was nothing,280,0,0,0.03571428571428571,0,1.0,0,0
why not get both kitchen_knife mini rct 1 raven in robins egg blut and black cherry backhand_index_pointing_right click the link in our bio to shop our full catalog of otf out the front amp tactical knives remember free shipping package on all orders over 199 tank tough knives,275,0,0,0.17454545454545456,0,0.0,0,0
israel has been occupying gaza and the west bank for 57 years if you don t like violence maybe start there,109,0,0,0.045871559633027525,0,369.0,0,0
a shady attack after this time no country will be able to speak out against israel s attack,99,1,0,0.030303030303030304,0,0.0,0,0
please pray for israel via,59,0,1,0.11864406779661017,0,0.0,0,0
via republicans have accused the biden administration of indirectly financing the hamas offensive through the unfreezing of funds to iran in prisoner swap deal,202,0,1,0.039603960396039604,0,1.0,0,0
if you don t have elite blocking then any east west pass traveling 20 yards or more is doomed to fail,102,0,0,0.00980392156862745,0,0.0,0,0
can you accept my invitation so that i can get 5 free gifts i m claiming 5 free gifts valued at 114 95,131,0,0,0.030534351145038167,0,0.0,0,0
to the city state s outside admirers it s just a beacon of free markets but little has been left to chance via,149,0,1,0.04697986577181208,0,4.0,0,0
israel has cut electricity water and food supplies to gaza two million people half of them are children trapped in a blockaded area and being cut off from the outside world and starved while being heavily bombed from all directions it s a genocide,258,0,0,0.015503875968992248,1,20445.0,0,1
police_car_light police_car_light breaking u s air force reportedly deploying an additional 20 25 multirole fighter jets f 15 and f 35 to the middle east over the coming days objective of this deployment to prevent the war in israel from spreading into the remainder of the middle east while also acting,304,0,0,0.09868421052631579,0,0.0,0,0
